Number of Features per Subsystem,Correlation,Number of Languages,Features
2,-0.4,161,"('2A', '13A', '23A', '25B')"
3,-0.46,82,"'2A', '11A', '16A', '23A', '26A', '27A'"
4,-0.51,79,"'2A', '9A', '11A', '16A', '23A', '26A', '27A', '29A'"
5,-0.52,71,"'2A', '7A', '9A', '11A', '16A', '20A', '22A', '23A', '26A', '27A'"
6,-0.51,71,"'2A', '7A', '9A', '11A', '16A', '19A', '20A', '22A', '23A', '26A', '27A', '29A'"
7,-0.45,49,"('2A', '9A', '11A', '13A', '16A', '17A', '19A', '20A', '22A', '23A', '25B', '26A', '27A', '29A')"
8,-0.41,81,"'2A', '4A', '7A', '9A', '10A', '11A', '13A', '19A', '20A', '21B', '22A', '23A', '25B', '26A', '27A', '29A'"
9,-0.31,77,"'1A', '2A', '4A', '7A', '9A', '10A', '11A', '13A', '19A', '20A', '21B', '22A', '23A', '24A', '25B', '26A', '27A', '29A'"
10,0.2,99,"'1A', '3A', '4A', '6A', '7A', '8A', '9A', '11A', '12A', '19A', '20A', '21A', '21B', '22A', '23A', '24A', '25B', '26A', '28A', '29A'"
11,0.24,67,"('1A', '3A', '4A', '6A', '7A', '8A', '9A', '11A', '13A', '14A', '16A', '20A', '21A', '21B', '22A', '23A', '24A', '25B', '26A', '27A', '28A', '29A')"